DATE,RTWVDKY684NMFRBDAL
2020-01-01,114.9251
2020-02-01,116.4892
2020-03-01,121.6433
2020-04-01,123.9156
2020-05-01,123.8353
2020-06-01,120.1749
2020-07-01,119.599
2020-08-01,117.9412
2020-09-01,117.9649
2020-10-01,117.8164
2020-11-01,116.0102
2020-12-01,113.2593
2021-01-01,112.9083
2021-02-01,113.129
2021-03-01,114.4813
2021-04-01,114.2156
2021-05-01,112.6872
2021-06-01,113.5928
2021-07-01,115.3124
2021-08-01,115.6227
2021-09-01,116.0583
2021-10-01,116.7059
2021-11-01,117.9238
2021-12-01,119.3182
2022-01-01,118.4851
2022-02-01,118.2474
2022-03-01,119.2481
2022-04-01,119.4556
2022-05-01,122.7702
2022-06-01,123.8318
2022-07-01,125.9345
